# Stability checks for fixed-tp Y2 shape ansaetze
# model global_rel loo_holdout_rel loo_holdout_p95 pred_spread_mean pred_spread_max
log_hilltop_plus_const 5.1787692977e-03 1.4056849602e-02 2.6724838598e-02 3.0905030933e-03 6.9800808565e-03
# param roughness sign_changes mean_jk_std
c0 5.9486179429e+00 18 1.8060327515e-02
A 1.9541275148e+00 2 1.7598557206e-02
alpha 2.0301762570e+00 0 3.1533723062e-02
# tp holdout_rel_rmse pred_rel_spread_mean c0_jk_std A_jk_std alpha_jk_std
9.9055503565e+00 7.0145785154e-03 1.6433627652e-03 8.7257529074e-02 8.6941310352e-02 7.8444523544e-02
1.0626585692e+01 4.8800786702e-03 1.2049240860e-03 6.9961020266e-02 6.9730106307e-02 5.4591025886e-02
1.1400105941e+01 2.9227219156e-03 7.9316287122e-04 4.9746693486e-02 4.9571188985e-02 3.2117245738e-02
1.2229931535e+01 1.1919095479e-03 2.7260265187e-04 1.2864001582e-02 1.2812637681e-02 6.4952718383e-03
1.3120160999e+01 2.2676709270e-03 5.8210451988e-04 3.9950604101e-10 2.9365526778e-04 1.4956440349e-03
1.4075191193e+01 4.2858124629e-03 1.1265600450e-03 3.1412792789e-11 5.1258008225e-04 3.1516717002e-03
1.5099739031e+01 6.2555690502e-03 1.6448243244e-03 3.1041416605e-11 7.2252274000e-04 4.7080684057e-03
1.6198864774e+01 8.1234854472e-03 2.1320792014e-03 2.9616719735e-11 9.1951794870e-04 6.1640771029e-03
1.7377997026e+01 9.8767191777e-03 2.5869062432e-03 7.5873795103e-09 1.1024799740e-03 7.5201029395e-03
1.8642959543e+01 1.1514688720e-02 3.0099906861e-03 5.7196201227e-09 1.2718251393e-03 8.7794010674e-03
2.0000000000e+01 1.3042780222e-02 3.4032382126e-03 4.4169124468e-09 1.4284036170e-03 9.9486608095e-03
2.2684969009e+01 1.5514269659e-02 4.0365193757e-03 2.0100523119e-09 1.6790154015e-03 1.1828926584e-02
2.5730390946e+01 1.7664254334e-02 4.5846280612e-03 3.1646006303e-17 1.8939878840e-03 1.3455353718e-02
2.9184656059e+01 1.9519421471e-02 5.0555998504e-03 1.2758420300e-07 2.0774730465e-03 1.4852034444e-02
3.3102650911e+01 2.1107403560e-02 5.4572787741e-03 3.6319460219e-07 2.2329973598e-03 1.6043042875e-02
3.7546630501e+01 2.2453765199e-02 5.7966580075e-03 2.4695030044e-09 2.3629089306e-03 1.7049949386e-02
4.2587207465e+01 2.3585434675e-02 6.0810222241e-03 2.0211050700e-09 2.4711421195e-03 1.7894750562e-02
4.8304474075e+01 2.4525306810e-02 6.3164641620e-03 3.9148068265e-06 2.5584528818e-03 1.8595225739e-02
5.4789274868e+01 2.5290763510e-02 6.5074823987e-03 3.5716620272e-09 2.6310751551e-03 1.9166450985e-02
6.2144650119e+01 2.5906709727e-02 6.6606131224e-03 1.9824581969e-07 2.6874386693e-03 1.9626211685e-02
7.0487473100e+01 2.6388287121e-02 6.7797008070e-03 1.8513267214e-15 2.7300059948e-03 1.9986422223e-02
7.9950307138e+01 2.6750694554e-02 6.8685970675e-03 4.8582646223e-06 2.7603752834e-03 2.0258685724e-02
9.0683511982e+01 2.7004038892e-02 6.9298183982e-03 4.2072715380e-06 2.7799873151e-03 2.0451259399e-02
1.0285763295e+02 2.7160609116e-02 6.9664706636e-03 3.8061922489e-06 2.7897128919e-03 2.0572851117e-02
1.1666611078e+02 2.7226746803e-02 6.9800808565e-03 3.6433196506e-06 2.7899508122e-03 2.0628447321e-02
1.3232835537e+02 2.7209098259e-02 6.9722929865e-03 3.6831875203e-06 2.7813779861e-03 2.0622901078e-02
1.5009323203e+02 2.7111671429e-02 6.9440597793e-03 3.9241836222e-06 2.7642728351e-03 2.0559176471e-02
1.7024301585e+02 2.6937013239e-02 6.8959723389e-03 4.3727249466e-06 2.7388356691e-03 2.0439000232e-02
1.9309787692e+02 2.6686054663e-02 6.8281749184e-03 5.0455759652e-06 2.7050304778e-03 2.0262981477e-02
2.1902096768e+02 2.6358312781e-02 6.7404627315e-03 4.4319965598e-09 2.6633111477e-03 2.0030886222e-02
2.4842419320e+02 2.5951108757e-02 6.6320824489e-03 3.3327200677e-09 2.6123228141e-03 1.9739905519e-02
2.8177475619e+02 2.5461920041e-02 6.5023113773e-03 3.8074221735e-09 2.5522515603e-03 1.9387959302e-02
3.1960258057e+02 2.4886557214e-02 6.3500505728e-03 3.4252316763e-09 2.4827461154e-03 1.8971336063e-02
3.6250873177e+02 2.4222835759e-02 6.1746076360e-03 4.1138114415e-06 2.4018934905e-03 1.8487458725e-02
4.1117496727e+02 2.3465795715e-02 5.9746976470e-03 1.4762657643e-05 2.3266031854e-03 1.7938697742e-02
4.6637456948e+02 2.2611826318e-02 5.7494033593e-03 6.0497569644e-08 2.2146577843e-03 1.7302009846e-02
5.2898463275e+02 2.1659597760e-02 5.4982319460e-03 2.1637656293e-05 2.1231796020e-03 1.6602370808e-02
6.0000000000e+02 2.1552900907e-02 5.3687454846e-03 3.3377862186e-02 3.5050003323e-02 3.2430081819e-02

pendulum_log_plus_const 2.5100035751e-03 1.0210903348e-02 1.8672526788e-02 2.2924155812e-03 5.0832841508e-03
# param roughness sign_changes mean_jk_std
c0 1.7686681877e+00 7 3.5397602618e-02
A 1.7856326562e+00 2 3.4304135477e-02
alpha 8.4225702542e-01 1 4.2660763643e-02
# tp holdout_rel_rmse pred_rel_spread_mean c0_jk_std A_jk_std alpha_jk_std
5.0100000000e-01 8.6302978205e-03 2.4316898978e-03 1.3315990694e-02 1.0536353048e-02 1.7758746506e-02
5.0384893942e-01 8.6176407946e-03 2.4274962515e-03 1.3203679339e-02 1.0448019601e-02 1.7744922997e-02
5.0671407935e-01 8.6080501896e-03 2.4241720846e-03 1.3097317006e-02 1.0364540958e-02 1.7738113633e-02
5.0959551191e-01 8.6026981505e-03 2.4220509428e-03 1.2998736778e-02 1.0287452711e-02 1.7741068199e-02
5.1249332976e-01 8.5919050314e-03 2.4183778927e-03 1.2892423315e-02 1.0203953311e-02 1.7731733769e-02
5.1540762606e-01 8.5777441342e-03 2.4137430260e-03 1.2781726820e-02 1.0116779540e-02 1.7714735438e-02
5.1833849453e-01 8.5685818303e-03 2.4105273017e-03 1.2679969648e-02 1.0036963190e-02 1.7709274712e-02
5.2128602940e-01 8.5616330791e-03 2.4079367817e-03 1.2582583055e-02 9.9607161012e-03 1.7708950250e-02
5.2425032544e-01 8.5511800975e-03 2.4043464890e-03 1.2480642544e-02 9.8806660724e-03 1.7700684185e-02
5.2723147797e-01 8.5402050711e-03 2.4006049507e-03 1.2378871597e-02 9.8007257979e-03 1.7691327147e-02
5.3022958284e-01 8.5292906054e-03 2.3968774745e-03 1.2278152058e-02 9.7216202172e-03 1.7682199367e-02
5.3324473645e-01 8.5181082639e-03 2.3930699834e-03 1.2177912362e-02 9.6428589343e-03 1.7672487889e-02
5.3627703575e-01 8.5093621098e-03 2.3899513181e-03 1.2082355525e-02 9.5679556783e-03 1.7668526566e-02
5.3932657824e-01 8.5021942923e-03 2.3872748811e-03 1.1989938526e-02 9.4955855088e-03 1.7668187406e-02
5.4239346196e-01 8.4878727895e-03 2.3825685094e-03 1.1887824362e-02 9.4151856560e-03 1.7651581732e-02
5.4547778554e-01 8.4748787944e-03 2.3782353231e-03 1.1788620308e-02 9.3371498263e-03 1.7638081529e-02
